	1	2	5	6	7	8	9	10	11	12	13	14	15	16	17	19	20	21	22	23	24	25	26	27	29	31	32	33	34	35
anin	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	
anun	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	
anen	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	
anon	0	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	
inun	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	
inen	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	
