1,うーんなんか,0.647,1.685
0,それも何個性,2.467,3.217
0,の一つっていうか,3.349,4.625
0,そのなんか、髪が長い人が好き、短い人が好きとか,5.208,8.543
0,そういうのと,8.863,9.544
0,なんか、いっしょ,10.009,10.629
1,っていうの,10.885,11.192
1,の,11.717,11.922
0,何か分類のひとつみたいな感じかなっていう風に私は,12.287,15.687
0,思うから,16.063,16.749
1,別に,17.131,17.632
0,うーんなんか女の子だから、男の子好きになんなきゃだめとか,18.336,21.715
0,女の子だから女の子らしくしなきゃだめとか,22.851,25.179
0,そういうのは,25.622,26.125
1,別に,27.176,27.546
0,ないかなって私は,27.746,29.66
1,特に,30.29,30.922
1,うーんなんか,31.756,32.521
0,あるかな、うん,33.999,34.949
1,別に,35.699,36.166
0,うーんなんだろう,37.576,38.443
