Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.4318181818181818,0.5714285714285715,0.35294117647058826,0.0,0.3368263958732116,0.48484848484848486,0.6,0.0,0.36161616161616167,0.6956521739130435,0.25,0.0,0.31521739130434784,[16  2  5],[8 3 1],[9 0 0]
0.4318181818181818,0.5925925925925926,0.1818181818181818,0.16666666666666666,0.3366724272670701,0.5161290322580645,0.2,0.3333333333333333,0.3498207885304659,0.6956521739130435,0.16666666666666666,0.1111111111111111,0.324476650563607,[16  5  2],[10  2  0],[5 3 1]
0.4772727272727273,0.6428571428571429,0.125,0.25,0.3615517540561645,0.5454545454545454,0.25,0.2857142857142857,0.3603896103896103,0.782608695652174,0.08333333333333333,0.2222222222222222,0.3627214170692432,[18  2  3],[9 1 2],[6 1 2]
0.4090909090909091,0.5714285714285715,0.11764705882352941,0.13333333333333333,0.29012618079984087,0.48484848484848486,0.2,0.16666666666666666,0.28383838383838383,0.6956521739130435,0.08333333333333333,0.1111111111111111,0.2966988727858293,[16  4  3],[9 1 2],[8 0 1]
0.4318181818181818,0.5660377358490566,0.2,0.26666666666666666,0.35392584170298774,0.5,0.25,0.3333333333333333,0.3611111111111111,0.6521739130434783,0.16666666666666666,0.2222222222222222,0.3470209339774557,[15  6  2],[8 2 2],[7 0 2]
0.45454545454545453,0.5818181818181818,0.3333333333333333,0.13333333333333333,0.36966624419095906,0.5,0.5,0.16666666666666666,0.3888888888888889,0.6956521739130435,0.25,0.1111111111111111,0.3522544283413849,[16  3  4],[8 3 1],[8 0 1]
0.45454545454545453,0.5660377358490566,0.3333333333333333,0.23529411764705882,0.39462529671074936,0.5,0.5,0.25,0.4166666666666667,0.6521739130434783,0.25,0.2222222222222222,0.37479871175523344,[15  3  5],[8 3 1],[7 0 2]
0.3409090909090909,0.5185185185185185,0.10526315789473685,0.0,0.2131834758796122,0.45161290322580644,0.14285714285714285,0.0,0.19815668202764977,0.6086956521739131,0.08333333333333333,0.0,0.23067632850241548,[14  5  4],[9 1 2],[8 1 0]
0.36363636363636365,0.5454545454545454,0.10526315789473685,0.0,0.2226197909162224,0.46875,0.14285714285714285,0.0,0.2038690476190476,0.6521739130434783,0.08333333333333333,0.0,0.24516908212560387,[15  5  3],[9 1 2],[8 1 0]
0.5227272727272727,0.6666666666666667,0.1904761904761905,0.46153846153846156,0.46828613694966176,0.5806451612903226,0.2222222222222222,0.75,0.5176224611708483,0.782608695652174,0.16666666666666666,0.3333333333333333,0.4275362318840579,[18  5  0],[9 2 1],[4 2 3]
