Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.5208333333333334,0.6779661016949152,0.34782608695652173,0.14285714285714288,0.4162003923761165,0.7407407407407407,0.4,0.09090909090909091,0.4105499438832772,0.625,0.3076923076923077,0.3333333333333333,0.422008547008547,[20  5  7],[6 4 3],[1 1 1]
0.4791666666666667,0.6333333333333334,0.3076923076923077,0.0,0.3139824519668071,0.6785714285714286,0.3076923076923077,0.0,0.32875457875457875,0.59375,0.3076923076923077,0.0,0.3004807692307692,[19  8  5],[7 4 2],[2 1 0]
0.5416666666666666,0.6557377049180328,0.41666666666666663,0.18181818181818182,0.43501120590399844,0.6896551724137931,0.45454545454545453,0.125,0.4230668756530826,0.625,0.38461538461538464,0.3333333333333333,0.4476495726495726,[20  5  7],[8 5 0],[1 1 1]
0.5625,0.7213114754098361,0.3076923076923077,0.2222222222222222,0.4263235619782122,0.7586206896551724,0.3076923076923077,0.16666666666666666,0.41099322133804894,0.6875,0.3076923076923077,0.3333333333333333,0.4428418803418803,[22  8  2],[6 4 3],[1 1 1]
0.6041666666666666,0.7352941176470588,0.3636363636363637,0.0,0.37111857091475836,0.6944444444444444,0.4444444444444444,0.0,0.3796296296296296,0.78125,0.3076923076923077,0.0,0.3629807692307692,[25  4  3],[9 4 0],[2 1 0]
0.5208333333333334,0.676923076923077,0.17391304347826086,0.25,0.37269015046792825,0.6666666666666666,0.2,0.2,0.35555555555555557,0.6875,0.15384615384615385,0.3333333333333333,0.39155982905982906,[22  7  3],[10  2  1],[1 1 1]
0.5208333333333334,0.6774193548387096,0.17391304347826086,0.36363636363636365,0.43101905517255407,0.7,0.2,0.25,0.3833333333333333,0.65625,0.15384615384615385,0.6666666666666666,0.4922542735042735,[21  7  4],[9 2 2],[0 1 2]
0.5416666666666666,0.696969696969697,0.17391304347826086,0.28571428571428575,0.38828218569428896,0.6764705882352942,0.2,0.25,0.37549019607843137,0.71875,0.15384615384615385,0.3333333333333333,0.40197649572649574,[23  7  2],[10  2  1],[1 1 1]
0.5208333333333334,0.6551724137931033,0.4,0.15384615384615383,0.4262534836459315,0.7307692307692307,0.4166666666666667,0.1,0.41581196581196583,0.59375,0.38461538461538464,0.3333333333333333,0.43723290598290593,[19  6  7],[6 5 2],[1 1 1]
0.5625,0.71875,0.3076923076923077,0.0,0.3421474358974359,0.71875,0.3076923076923077,0.0,0.3421474358974359,0.71875,0.3076923076923077,0.0,0.3421474358974359,[23  7  2],[8 4 1],[1 2 0]
