Accuracy,f_0,f_1,f_2,f_m,r_0,r_1,r_2,r_m,p_0,p_1,p_2,p_m,1,0,-1
0.6041666666666666,0.7666666666666666,0.4,0.18181818181818182,0.4556383527999889,0.71875,0.4166666666666667,0.25,0.4618055555555556,0.8214285714285714,0.38461538461538464,0.14285714285714285,0.4496336996336996,[23  5  0],[5 5 3],[4 2 1]
0.625,0.7936507936507937,0.41666666666666663,0.0,0.4069131481076351,0.7142857142857143,0.45454545454545453,0.0,0.3896103896103896,0.8928571428571429,0.38461538461538464,0.0,0.42582417582417587,[25  3  0],[6 5 2],[4 3 0]
0.5416666666666666,0.7457627118644068,0.3076923076923077,0.0,0.3513395385089062,0.7096774193548387,0.3076923076923077,0.0,0.33912324234904884,0.7857142857142857,0.3076923076923077,0.0,0.3644688644688645,[22  5  1],[6 4 3],[3 4 0]
0.5833333333333334,0.7096774193548386,0.38461538461538464,0.25,0.531754585479583,0.6470588235294118,0.38461538461538464,1.0,0.6772247360482654,0.7857142857142857,0.38461538461538464,0.14285714285714285,0.43772893772893773,[22  6  0],[8 5 0],[4 2 1]
0.5208333333333334,0.7241379310344827,0.27272727272727276,0.125,0.37797995567638376,0.7,0.3333333333333333,0.1111111111111111,0.3814814814814815,0.75,0.23076923076923078,0.14285714285714285,0.37454212454212454,[21  4  3],[5 3 5],[4 2 1]
0.5833333333333334,0.7868852459016394,0.3636363636363637,0.0,0.3894220110847189,0.7272727272727273,0.4444444444444444,0.0,0.39057239057239057,0.8571428571428571,0.3076923076923077,0.0,0.38827838827838823,[24  2  2],[5 4 4],[4 3 0]
0.5208333333333334,0.7333333333333334,0.21052631578947367,0.11764705882352941,0.3670968501700645,0.6875,0.3333333333333333,0.1,0.3736111111111111,0.7857142857142857,0.15384615384615385,0.14285714285714285,0.3608058608058608,[22  3  3],[5 2 6],[5 1 1]
0.5208333333333334,0.7118644067796611,0.34782608695652173,0.0,0.3558215662347221,0.6774193548387096,0.4,0.0,0.35913978494623655,0.75,0.3076923076923077,0.0,0.3525641025641026,[21  4  3],[5 4 4],[5 2 0]
0.4166666666666667,0.6440677966101694,0.08695652173913043,0.0,0.24452705992170304,0.6129032258064516,0.1,0.0,0.23763440860215054,0.6785714285714286,0.07692307692307693,0.0,0.2518315018315018,[19  8  1],[6 1 6],[6 1 0]
0.4583333333333333,0.6315789473684211,0.2608695652173913,0.125,0.3413616231712464,0.6206896551724138,0.3,0.1111111111111111,0.34393358876117497,0.6428571428571429,0.23076923076923078,0.14285714285714285,0.3388278388278388,[18  6  4],[6 3 4],[5 1 1]
