1,はぁ,1.202,1.538
1,あんまりにも,2.0,2.6
0,なんだろ,3.945,4.185
0,ちょうどその,5.287,5.91
0,期間が,5.975,6.383
0,期末テストの機関にな、なりますよね,6.537,8.893
1,あの,9.137,9.418
1,おい,10.36,10.488
0,7月後半,12.047,12.857
0,から8月前半くらい,13.205,14.582
0,だったはずなんですけど,14.947,15.332
0,ちょうど期末テストですよね、へへ,15.518,17.503
0,その時間を,17.715,18.503
0,繰り上げられるともう,18.665,19.775
0,なんだろ,20.03,20.392
0,勉強できなくなっちゃいますよね,20.975,22.12
0,ふふ,25.052,25.295
0,東京,26.445,27.372
1,もし,27.61,27.767
0,ここで開催されるってなったとしても,28.718,30.615
0,興味ないですか？,31.44,32.6
1,はは,35.407,35.907
1,あー、そうですね,38.377,39.36
