0,4.048
5.968,6
7.2,7.584
9.408,19.856
21.008,23.6
24.784,34.496
35.808,35.856
38.032,38.064
39.76,39.984
43.52,46.848
48.192,52.48
53.984,59.968
68.752,71.04
74.88,78.16
79.408,82.208
84.912,85.344
90.192,91.776
93.088,96.464
97.952,98.576
101.73,102.27
103.55,103.82
105.7,106.94
108.48,109.3
110.54,114.82
116.02,116.19
117.42,119.66
121.65,124.98
126.19,131.39
136.21,136.34
138.56,144.74
151.57,152.74
154.54,155.15
161.52,163.34
171.36,174.53
181.71,181.74
183.26,183.31
184.62,189.6
192.03,193.47
196.61,196.91
198.27,203.63
205.39,206.93
207.98,209.26
210.61,210.82
215.36,217.86
219.02,221.7
223.14,223.23
225.1,229.65
231.01,237.66
239.71,240.53
241.81,243.97
246.53,246.91
248.27,248.42
252.35,254.4
256.24,256.26
259.76,261.06
262.48,263.22
264.56,270.42
271.71,274.67
276.21,280.42
285.31,286.75
288,290.78
292.03,294.38
296.38,301.6
302.91,305.23
307.52,310.34
311.5,311.7
312.93,314.48
315.94,318.14
320.53,321.46
325.79,325.89
328.26,333.34
335.06,336.48
338.54,338.7
340.77,343.94
349.18,352.88
354.06,357.87
360.82,362.06
364.69,367.31
368.61,369.76
370.98,373.42
374.94,375.47
379.09,379.78
381.02,382.51
385.09,385.65
387.92,393.15
397.79,401.92
403.28,409.57
412.74,413.23
415.41,416.02
419.07,419.28
420.72,424.11
427.34,427.44
430.46,442.29
446.93,450.3
451.76,466.94
468.14,478.22
480.05,491.15
494.08,494.26
495.84,498.5
499.58,502.82
508.83,511.76
515.3,516.11
518.53,519.25
520.78,521.25
522.8,528.59
529.68,531.6
533.39,537.79
539.95,540.88
541.98,554.43
555.97,562.8
564.46,564.78
566.3,567.04
568.32,574.24
576.66,579.44
582.26,583.57
585.66,586.99
588.38,591.36
593.14,593.82
595.12,597.42
601.25,617.25
619.95,621.87
623.66,624.06
626.34,627.3
629.22,630.13
631.47,638.67
640.58,642.29
648.05,651.52
653.74,653.94
655.18,657.26
662.32,667.01
668.14,672.46
674.03,675.34
676.7,687.46
689.02,689.54
691.57,694.74
