0,8.853
10.086,11.302
15.945,18.971
20.46,22.701
25.518,26.751
28.192,30.962
38.166,40.599
46.042,48.155
52.83,56.16
57.296,60.883
64.581,68.231
69.271,78.492
79.677,80.51
81.598,84.272
86.225,93.845
95.286,96.935
99.528,100.25
102.35,102.97
110.51,115.01
118.93,130.68
132.92,133.55
135.05,141.74
143.46,144.43
147.65,151.69
154.54,155.29
164.32,174.71
178.12,180.02
185.75,186.51
195.37,198.03
200.02,202.19
203.73,205.88
212.49,213.66
215.39,219
220.32,222.46
224.9,228
233.62,242.23
243.5,246.12
247.66,250.77
256.83,258.08
259.83,260.64
265.48,268.12
272.01,276.64
277.84,280.4
282.18,283.26
284.37,285.57
287.11,289.81
292.15,295.11
