[177.92509565],[-16.33180557],[0.88172559]
[179.34131004],[-19.17559061],[1.37664816]
[179.66960756],[-17.09706628],[0.87297872]
[-179.69308276],[-20.25435206],[0.90047585]
[179.43021788],[-17.95872225],[0.60806584]
[179.01830592],[-18.09158121],[1.2968608]
[179.96039854],[-20.20525262],[0.75343178]
[179.68085653],[-19.66976176],[0.93657624]
[179.04417288],[-17.86961139],[1.24089006]
[-179.02173484],[-20.07874038],[1.0606241]
[-179.83453084],[-20.87506577],[0.76617993]
[178.72720812],[-18.75230563],[1.65974747]
[-179.94988869],[-18.23721113],[1.32672277]
[179.77100752],[-20.62321732],[0.69240038]
[-179.91242797],[-18.27794659],[1.36022311]
[-179.76343968],[-21.00667544],[1.07024657]
[179.8308938],[-18.93796097],[1.53130661]
[179.19302596],[-20.31968454],[1.30716031]
[-179.98302378],[-20.58029162],[0.99944475]
[179.14559963],[-22.1928907],[1.49097627]
[-179.64151225],[-16.49013121],[1.62366739]
[179.21273254],[-19.64817733],[1.85521739]
[178.30951136],[-19.01536618],[1.26216801]
[178.96033496],[-20.06303061],[1.44707743]
[179.26656636],[-20.95390563],[1.5874708]
[179.70572632],[-22.81684913],[1.13657207]
[179.26950536],[-21.15621645],[1.52446254]
[179.40577492],[-20.70555794],[1.59032879]
[179.45906228],[-23.07186412],[1.57754804]
[179.1248208],[-20.49910924],[1.52257594]
[-179.83716508],[-21.61702544],[1.04832423]
[179.2088265],[-22.63280061],[1.2282903]
[178.87559554],[-21.79463977],[1.44095294]
[178.57037063],[-21.81191821],[1.30943433]
[179.1003796],[-22.18896464],[1.51222211]
[-179.97006627],[-20.9631632],[1.04801241]
[178.89970162],[-20.32242662],[1.45756585]
[-179.65668317],[-21.8463058],[0.8384599]
[179.14544659],[-21.76546547],[1.29795181]
[179.14544659],[-21.76546547],[1.29795181]
[179.99997476],[-20.98076474],[1.53802323]
[179.52947357],[-21.14813935],[1.38699165]
[179.52947357],[-21.14813935],[1.38699165]
[178.87728126],[-21.28150093],[1.74075433]
[-179.77881413],[-21.17851018],[1.65922405]
[178.55322585],[-20.20705026],[1.66637083]
[179.61324903],[-20.70399801],[1.50980722]
[177.78482784],[-20.42176749],[1.69604494]
[178.33582127],[-20.87003487],[1.38701017]
[176.92147205],[-19.00417158],[1.38849614]
[178.82714858],[-19.55407509],[1.30425216]
[179.3436066],[-21.09802695],[1.88972303]
[177.91745827],[-18.94934193],[1.52223322]
[178.71794486],[-20.63291139],[1.7423711]
[179.03392883],[-22.59526443],[1.73344745]
[178.56662578],[-22.7796919],[1.59085974]
[178.80216978],[-21.51203932],[1.67025919]
[178.9414989],[-20.2118022],[1.74662936]
[178.33745462],[-21.71682661],[1.52455303]
[178.19031926],[-21.88561114],[1.52773373]
[178.41674181],[-20.66145722],[1.5203765]
[177.67201927],[-22.81222002],[1.8279453]
[177.80770349],[-21.61097183],[1.89729578]
[177.28849757],[-22.07386339],[1.68323235]
[178.49854372],[-22.87222314],[1.59839906]
[177.67201927],[-22.81222002],[1.8279453]
[178.66033099],[-21.68754905],[1.66969991]
[177.17074481],[-20.59849685],[1.66479563]
[177.35085012],[-19.90221334],[1.83298963]
[177.62421954],[-20.97317792],[1.9003102]
[177.1612714],[-21.1988386],[1.7555133]
[178.94924825],[-21.68798408],[1.04427179]
[177.34681785],[-21.8235546],[1.75520585]
[176.66842079],[-22.23484596],[2.03980566]
[177.42162038],[-19.72646193],[1.06053819]
[177.77710543],[-20.7356286],[1.89473922]
[177.58054487],[-22.04745101],[1.81510203]
[176.84433049],[-22.25842114],[2.29982818]
[176.80449542],[-24.09374017],[2.555264]
[176.99845009],[-23.36733686],[2.38830627]
[178.06308704],[-22.3624887],[2.1502643]
[178.05168657],[-22.071198],[1.43387904]
[179.26837316],[-21.28380427],[1.81862045]
[178.35129339],[-20.85496843],[1.53300653]
[178.41793105],[-22.11201069],[1.5887157]
[177.62350709],[-23.05323268],[2.52037528]
[177.69782734],[-22.4486136],[2.36055677]
[178.59864035],[-22.89901018],[1.87441249]
[179.26837316],[-21.28380427],[1.81862045]
