[-176.25559084],[-16.01620391],[2.74731321]
[-177.39393947],[-14.91057942],[3.53513738]
[-175.9589568],[-17.63399824],[2.83890239]
[-175.78198405],[-14.61480102],[2.3237522]
[-175.74479577],[-18.62126163],[3.24548346]
[-176.65723503],[-16.66080864],[2.92486401]
[-177.17004096],[-17.35190355],[3.3726193]
[-176.50691429],[-17.22613001],[3.58697637]
[-175.09570587],[-19.45968473],[3.05492006]
[-176.3591943],[-16.77677182],[3.63251925]
[-176.74258025],[-20.17102365],[3.56774643]
[-176.74258025],[-20.17102365],[3.56774643]
[-176.61583034],[-19.12200925],[3.56721443]
[-176.76864665],[-19.28919774],[2.93381616]
[-176.51166231],[-20.66162992],[3.03102754]
[-177.46445036],[-20.31813272],[3.39515113]
[-177.75672299],[-22.47095786],[3.7910837]
[-177.62644849],[-26.05755373],[3.94813435]
[-179.22954805],[-23.43361668],[5.77216583]
[179.62827865],[-26.21052903],[4.99933376]
[178.80793604],[-26.32064154],[5.37826813]
[179.34054899],[-21.89140417],[4.89240443]
[-179.92403393],[-26.41991516],[5.06738433]
[178.89906292],[-25.90872648],[5.07312969]
[-179.09618995],[-26.14667387],[4.59223862]
[-179.78837281],[-26.46579361],[4.80586663]
[-179.18794895],[-25.93717695],[4.26399532]
[-179.84151078],[-27.50447328],[5.36989607]
[178.75927847],[-25.43667006],[6.02191768]
[-179.57910807],[-26.71810885],[4.51205845]
[179.375251],[-22.56315314],[4.74133269]
[-179.97047837],[-24.56339544],[4.26375319]
[-177.27349745],[-26.28850644],[3.35532747]
[-176.97623786],[-23.52567568],[3.91614491]
[-177.32820011],[-24.75610941],[3.78364426]
[-178.02113113],[-23.49915261],[3.51259849]
[-178.18310156],[-21.52365176],[3.3443863]
[179.22217813],[-23.42052394],[3.93638548]
[179.26782481],[-23.42562699],[3.91418463]
[179.42979537],[-24.2229074],[3.30197643]
[179.44903457],[-21.54894267],[3.29931826]
[-179.60909256],[-23.60642301],[2.55296658]
[178.91093844],[-22.75994431],[3.50551168]
[179.79784996],[-22.81124768],[2.39274717]
[178.94036904],[-25.16978014],[3.12351155]
[179.21946802],[-22.03291361],[3.22286978]
[-179.41690691],[-21.71059285],[1.94588083]
[-179.41690691],[-21.71059285],[1.94588083]
[179.72670497],[-21.43371715],[1.66081606]
[179.45967533],[-20.09037321],[1.57250302]
[178.38907081],[-23.36116688],[1.98049071]
[179.73573431],[-20.35313022],[1.64032113]
[-178.54095247],[-21.57757202],[1.43962652]
[-179.85030029],[-23.17115962],[1.86376844]
[179.57933817],[-21.65550738],[1.53612419]
[178.48867752],[-21.54428264],[2.35554996]
[178.73712292],[-21.29556859],[2.3544353]
[179.36966435],[-20.1925405],[2.4746621]
[177.61669412],[-21.87208391],[1.40465147]
[177.94237923],[-18.77650589],[1.64717353]
[-178.64423806],[-20.4446134],[1.46862654]
[-179.45858744],[-20.54287744],[1.88583842]
[-179.35994264],[-17.06434601],[2.00068477]
[-177.87165562],[-19.58600374],[1.39157897]
[-179.51923273],[-17.34197629],[0.88857471]
[-179.53748767],[-17.56376386],[1.89943416]
[-178.38015703],[-18.06575615],[1.56167235]
[-179.44989936],[-14.72718034],[2.04106929]
[179.87348533],[-18.84648754],[1.78869929]
[-179.61916566],[-18.81400953],[1.90429343]
[179.93213422],[-19.91868375],[1.6959206]
[-179.08615446],[-18.01589421],[2.0225367]
[-177.76723422],[-18.12993961],[1.71150186]
[-179.70989373],[-18.24444807],[1.8094685]
[-178.40429172],[-18.32048886],[1.49795555]
[-178.40429172],[-18.32048886],[1.49795555]
[-177.86763337],[-19.17881917],[1.69147015]
[-177.86763337],[-19.17881917],[1.69147015]
[-179.70989373],[-18.24444807],[1.8094685]
[-179.99159767],[-16.55965808],[1.79468493]
[-178.75742283],[-16.79085707],[1.39210204]
[-178.40429172],[-18.32048886],[1.49795555]
[-178.40429172],[-18.32048886],[1.49795555]
[-178.40429172],[-18.32048886],[1.49795555]
