[-169.95483483],[-14.75264987],[1.35019829]
[-170.22882208],[-13.92662598],[1.66474414]
[-169.45614931],[-15.08583877],[1.00105005]
[-170.2498097],[-14.34006222],[1.47788006]
[-169.30112201],[-16.19063891],[1.04847667]
[-169.30112201],[-16.19063891],[1.04847667]
[-170.33657042],[-14.17374525],[1.30306245]
[-171.26342846],[-12.69980715],[1.14424671]
[-171.84714469],[-12.89968018],[1.52890462]
[-170.26272799],[-12.19725453],[1.31624368]
[-170.21768222],[-12.03590821],[0.45738976]
[-170.96443271],[-14.82251023],[1.21123507]
[-170.15012224],[-13.7823882],[0.7528812]
[-169.82921023],[-12.8154211],[0.83682749]
[-169.28324745],[-10.81242834],[0.94620016]
[-169.72958584],[-11.76851658],[0.80438489]
[-170.5148293],[-11.10288619],[1.61472801]
[-170.21086783],[-14.34175634],[1.46375725]
[-170.10424538],[-13.07919298],[1.2509169]
[-169.92461145],[-16.33549091],[1.45343052]
[-169.90886364],[-14.52259332],[1.65108676]
[-166.45347256],[-14.6156845],[0.93349525]
[-168.2518701],[-16.93615165],[1.55581273]
[-167.72473589],[-15.01592512],[0.95220895]
[-167.95042065],[-15.54386929],[0.97725208]
[-168.33904323],[-15.77752934],[0.83963168]
[-169.24603547],[-15.42648808],[0.47142582]
[-168.86013471],[-16.0075354],[0.47118251]
[-169.89476589],[-17.39970095],[1.15706432]
[-171.38757369],[-16.99784051],[1.12443768]
[-172.5239986],[-16.92984797],[1.40156998]
[-173.68867451],[-19.23451974],[1.10872868]
[-173.94194925],[-19.94098809],[1.12852751]
[-172.83071782],[-15.29333146],[1.18490794]
[-172.38463896],[-17.5770076],[1.54633691]
[-172.37742517],[-19.4711261],[2.08732129]
[-174.8742676],[-21.32980927],[2.81789434]
[-172.24691911],[-19.59349817],[2.30726109]
[-173.37088317],[-18.5746265],[3.48127405]
[-174.60900967],[-17.2986352],[3.66061088]
[-172.98335467],[-16.73185973],[2.05722287]
[-174.81804311],[-15.0092999],[2.2159091]
[-174.99132545],[-12.59469287],[0.79951242]
[-175.11226843],[-10.60736761],[0.0582396]
[-175.21139519],[-10.0849071],[0.7277333]
[-175.56403963],[-13.10502024],[0.72347284]
[-176.94308512],[-12.26264929],[0.31340746]
[-176.55760477],[-13.51231097],[0.25732036]
[-176.16971407],[-14.60982516],[-0.1996476]
[-176.25198359],[-14.8400245],[-0.74294079]
[-176.27532449],[-11.57675525],[-1.0001107]
[-175.13763197],[-13.10836137],[-1.15757772]
[-175.98755243],[-12.50433024],[-0.75283681]
[-176.79439558],[-11.34114223],[-1.04941773]
[-175.29708847],[-12.69180294],[-1.6827126]
[-175.59200157],[-11.90922032],[-1.99091748]
[-175.59200157],[-11.90922032],[-1.99091748]
[-174.47704298],[-12.98666437],[-2.43876653]
[-175.27254297],[-13.04319512],[-2.62286372]
[-173.92820205],[-10.91642852],[-3.31637025]
[-174.08602814],[-10.70527215],[-2.94471295]
[-173.63564175],[-10.39043886],[-3.30086175]
[-173.89081006],[-12.64636504],[-3.36509532]
[-173.34300198],[-10.55082592],[-3.23846696]
[-173.71918863],[-12.35777803],[-3.37536282]
[-172.69444515],[-10.28571485],[-3.78116168]
[-174.55452973],[-11.24813518],[-3.10803008]
[-174.58480401],[-11.87479679],[-3.21701447]
[-174.58480401],[-11.87479679],[-3.21701447]
[-173.98721946],[-10.62840294],[-3.63893939]
[-175.10304134],[-11.31479315],[-3.30759129]
[-173.32898305],[-11.76230663],[-4.05359474]
[-174.44459998],[-12.7123086],[-3.55533329]
[-174.73497385],[-11.87486598],[-3.77458759]
[-174.44836085],[-10.28338272],[-3.57539813]
[-174.95277561],[-11.39800084],[-3.70221329]
[-174.95277561],[-11.39800084],[-3.70221329]
[-175.34511448],[-10.79146167],[-3.10966049]
[-174.1576445],[-12.60557242],[-3.42683057]
[-172.92749547],[-13.2778943],[-2.95766255]
[-174.21699357],[-13.33165905],[-2.68666686]
[-172.91836884],[-13.03996509],[-3.24285031]
[-173.72798859],[-12.30253691],[-2.21248224]
[-174.53247779],[-13.52495871],[-1.72414511]
[-177.76466832],[-15.19012201],[-0.90693271]
[-179.09178347],[-16.0182391],[-0.01472226]
[179.65366317],[-14.79350574],[0.70013509]
[179.65366317],[-14.79350574],[0.70013509]
[179.92461244],[-14.64693269],[0.6189038]
[179.47577428],[-14.94716463],[1.07291969]
[-179.72871414],[-16.43736673],[1.28073377]
[179.87975599],[-15.04502845],[2.00610881]
[178.77109981],[-16.71204389],[2.14718208]
[179.14095647],[-16.16249749],[1.74453244]
[-179.48717795],[-15.45784189],[2.17615882]
[-178.13864399],[-15.29685943],[2.14601066]
[-179.06246205],[-13.55092906],[2.15207173]
