
[175.41788008],[-23.89386853],[5.74942843]
[175.66806435],[-24.27169405],[5.09099408]
[175.69463485],[-22.4628549],[4.42324987]
[175.13288312],[-21.33596845],[4.18073584]
[175.34525964],[-20.10524674],[4.20207646]
[173.59443191],[-21.61844009],[3.41067091]
[174.56685706],[-20.08348145],[3.09064559]
[173.80527897],[-17.7856837],[2.6281044]
[174.29966834],[-20.00168099],[2.00563217]
[173.41734547],[-19.69076315],[1.22417086]
[172.18404871],[-18.33024416],[0.37404285]
[172.66331478],[-19.81193923],[0.52648406]
[172.54975351],[-18.89192637],[0.00524848]
[172.75189641],[-17.87505993],[-0.73217006]
[172.29051068],[-16.97336188],[-0.1735066]
[172.53816741],[-16.96450273],[0.13635161]
[173.53983436],[-18.23627215],[0.13003962]
[174.12092267],[-17.97958216],[0.65043191]
[173.20233571],[-18.70341199],[0.98123699]
[173.44905778],[-18.20708792],[0.68383615]
[172.69105953],[-18.7131492],[0.21042805]
[172.90857256],[-19.69046992],[0.69574357]
[173.36684992],[-17.58838096],[0.39386535]
[173.64753174],[-15.20117779],[0.00903888]
[173.34299413],[-18.26172431],[0.28463895]
[172.9023561],[-19.81814991],[0.9234879]
[174.0309726],[-18.91948847],[-0.1409677]
[173.56418022],[-19.53316738],[0.29610806]
[173.77615309],[-19.05026856],[-0.29844192]
[174.4363817],[-19.39971201],[-0.03403283]
[174.76998945],[-19.37528603],[0.01455764]
[173.86983087],[-19.40440135],[0.24979353]
[173.92645944],[-20.69685843],[0.19554819]
[173.46187098],[-18.39890589],[0.05382725]
[174.02572894],[-20.07345463],[0.6050316]
[174.38806642],[-20.75986441],[0.36630899]
[174.06893302],[-19.89652316],[0.29531885]
[173.41074549],[-18.38052637],[0.99289449]
[172.54215625],[-18.46564349],[0.78916198]
[172.52572196],[-18.21401477],[0.85982014]
[173.18003265],[-18.29232208],[0.69649747]
[173.55836521],[-17.01881196],[0.78938141]
[172.54215625],[-18.46564349],[0.78916198]
[173.50087231],[-19.43264461],[0.70990985]
[174.05393318],[-18.50424395],[0.83296475]
[173.59276037],[-18.99931655],[0.73831147]
[172.8681675],[-19.23108412],[0.7114342]
[173.06755095],[-19.29380885],[1.32381618]
[172.83272503],[-19.46471101],[1.16630708]
[173.56005433],[-20.07760812],[0.65076746]
[174.01825593],[-20.24699094],[1.24097938]
[174.75814598],[-19.90671465],[1.10637517]
[173.82807763],[-19.75186402],[1.42110473]
[174.52482686],[-21.18407311],[1.59753311]
[174.83004462],[-19.7904735],[0.78687387]
[172.85232025],[-19.92272147],[1.84206454]
[172.97154311],[-19.21316363],[1.96548863]
[169.93132966],[-8.22425984],[2.02909588]
[172.55549187],[-18.98908931],[1.82102601]
[169.20166421],[-15.33621349],[1.71953401]
[169.37917509],[-18.62866495],[1.63525565]
[172.70367672],[-21.37697026],[0.85469584]
[173.5623308],[-17.09630026],[-0.09955173]
[173.94317521],[-18.1466432],[-0.01424912]
[173.64160252],[-16.40001299],[-0.3944247]
[172.98910824],[-16.65055448],[-0.53985326]
[173.1560113],[-14.64364624],[-0.20601467]
[174.55747978],[-14.35676249],[0.42732593]
[172.52608891],[-15.85745685],[2.61921595]
[173.55805942],[-18.4256459],[2.97008859]
[174.17523936],[-20.94985932],[3.01445667]
[174.97547855],[-20.11057615],[3.47851594]
[174.1529256],[-22.50099616],[3.2843168]
[173.92238806],[-19.90744507],[2.49560003]
[174.66774037],[-18.57544133],[1.68076256]
[174.29864126],[-20.6921473],[1.46809085]
[175.03620488],[-20.61657513],[-0.06718908]
[175.35873441],[-18.58756553],[-0.99180978]
[175.49985298],[-14.00255709],[-2.05968128]
[175.79189855],[-11.73152641],[-2.33777076]
[175.0992902],[-12.96439468],[-3.23136029]
[176.07405275],[-16.08362762],[-3.21840428]
[177.03703924],[-15.1161189],[-3.32642276]
[176.91881642],[-11.95206978],[-3.55435416]
[174.9993537],[-12.25143801],[-0.90562522]
[176.1139295],[-9.78231239],[-1.65091724]
[177.44019891],[-12.5604037],[-1.83145162]
[176.90928758],[-9.78109389],[-1.85094508]
[177.18486861],[-11.54462744],[-1.67517036]
[177.08998293],[-13.29931421],[-0.67015779]
[177.61807786],[-11.36441938],[-0.40161685]
[177.57619858],[-13.17054726],[-0.14673645]
[178.38851565],[-14.49828934],[0.35424902]
[177.81118635],[-13.07753093],[0.53238502]
[176.59399681],[-14.01545222],[0.9223079]
[178.90740515],[-11.61149427],[0.82454639]
[178.7556292],[-14.5449666],[1.99776389]
[178.30627522],[-15.81944075],[2.41274419]
[178.18899795],[-15.71327258],[3.12835472]
[179.45235937],[-13.58081812],[3.04509921]
[179.07925179],[-16.87950774],[3.90574628]
[179.35324124],[-16.48473273],[4.25344899]
[178.4339166],[-17.30922759],[4.0350025]
[179.47639658],[-15.33895345],[3.68252922]
[177.24973158],[-19.42893286],[5.5002294]
[175.40315932],[-17.16039333],[5.60834693]
[176.33729928],[-19.72233985],[5.97093912]
[176.11376765],[-22.07003838],[6.84410828]
[174.98265334],[-22.94077997],[7.73776504]
[175.32782067],[-23.80653227],[8.18786796]
[174.87320496],[-24.83620183],[6.97797954]
[176.98636139],[-20.2773439],[8.3049675]
[176.58608773],[-22.58248262],[8.25159796]
[176.97738975],[-24.49221385],[9.13069129]
[176.37704454],[-24.70721125],[8.97422188]
[176.90427282],[-24.57727625],[8.36185411]
[176.57652936],[-26.52849023],[9.46326307]
[177.48674872],[-23.98493702],[8.79999603]
[178.32638615],[-23.42690082],[9.12593604]
[178.18015257],[-23.75253845],[8.99865449]
[178.33194939],[-24.78785028],[8.842894]
[176.62230107],[-25.55397204],[10.05034863]
[177.67724492],[-23.5328754],[7.8483013]
[179.53603429],[-24.30988285],[9.05352376]
[176.62403586],[-25.60148535],[10.81752919]
[176.76630748],[-27.20112297],[10.93531507]
[177.80048506],[-25.77651927],[10.6546537]
[177.46336543],[-26.33688792],[10.30973999]
[177.56816675],[-26.36835759],[10.80585768]
[178.02959258],[-26.40173913],[10.57508782]
[177.73551851],[-27.04247884],[10.25209694]
[177.03169785],[-24.10876197],[10.8288426]
[178.49033678],[-26.12426981],[10.34319933]
[176.84361971],[-25.837548],[10.39542348]
[177.4447958],[-26.72290169],[10.61707751]
[176.84109599],[-25.56687305],[10.94853297]
[177.99897998],[-25.6507516],[10.61356058]
[177.70062365],[-26.05845502],[10.88060535]
[177.79012733],[-26.79700146],[10.9798553]
[177.48198855],[-25.92227404],[10.50210787]
[176.58288518],[-24.56704446],[10.897193]
[176.86277882],[-24.45055286],[10.51663894]
[176.78523323],[-26.02264075],[11.00267556]
[177.71085528],[-23.68163875],[9.74844417]
[178.00791901],[-24.82120266],[10.70995184]
[177.59596492],[-23.18771543],[10.38404985]
[177.5421073],[-26.05356756],[11.04747247]
[177.07312807],[-25.24558562],[10.50536877]
[177.01203208],[-27.90188267],[11.03842606]
[177.58273801],[-26.99835933],[11.07379426]
[176.21837767],[-25.18248266],[11.03075093]
[178.18574324],[-25.90273802],[10.6926436]
[178.26393249],[-23.24190062],[9.36792223]
[177.5919814],[-27.17373677],[10.57132747]
[178.4079567],[-25.26512714],[10.23833066]
[176.5559202],[-25.32183229],[10.24105616]
[178.93367686],[-27.22861138],[10.05738128]
[177.83374849],[-25.20866103],[10.42219667]
[177.94836971],[-25.52321313],[10.07768199]
[178.04277658],[-23.64557921],[9.68582038]
[178.26967713],[-25.9745011],[10.44359803]
[177.69416577],[-25.62666312],[10.05394108]
[177.00910448],[-24.08302263],[10.09055389]
[177.93984855],[-26.0496335],[9.85175541]
[177.74193645],[-24.58994287],[9.97005655]
[176.50565841],[-25.13511035],[10.6247398]
[177.96880038],[-25.38009044],[9.3757493]
[177.97687212],[-25.51854739],[9.66547863]
[177.43131633],[-24.7377797],[9.7955734]
[177.73219038],[-25.32624304],[9.07959045]
[179.56704221],[-26.7626105],[9.35845247]
[178.80053056],[-24.38454502],[9.48923722]
[177.91163707],[-28.16282649],[9.49727677]
[177.4602615],[-27.4825536],[9.63008044]
[177.38296135],[-25.51198113],[9.28369153]
[177.01907502],[-23.73764345],[8.94218122]
[176.81157294],[-22.30704415],[8.53462395]
[176.79877255],[-22.71645127],[8.20006334]
[177.60674524],[-24.15517329],[9.25741306]
[179.22389808],[-24.84516038],[7.88641258]
[179.61056544],[-26.16159507],[8.75898144]
[178.76896571],[-22.20270939],[8.34775089]
[178.81314726],[-24.74186689],[8.59595471]
[177.41368989],[-24.14003014],[9.70743535]
[178.88997967],[-25.4732364],[8.64231394]
[177.51269416],[-22.96150836],[9.9446019]
[178.07596274],[-25.87190568],[9.20419343]
[176.58763463],[-23.10843216],[9.5152342]
[177.69521003],[-23.57343835],[9.61123364]
[179.22549881],[-23.23218528],[8.56173515]
[177.79650552],[-23.93461058],[9.31452638]
[177.16832397],[-25.16694491],[9.63851146]
[177.76782745],[-25.70558255],[9.81704626]
[177.44676408],[-24.17971195],[9.653901]
[177.44676408],[-24.17971195],[9.653901]
[177.30144314],[-24.20731971],[9.66543499]
[178.25782198],[-25.45607487],[9.42088332]
[178.29947859],[-25.96049126],[8.73011444]
[177.18128863],[-22.02052874],[9.00737304]
[178.63350956],[-22.94369871],[9.0128463]
[178.74290146],[-24.41011574],[8.3968701]
[178.48689709],[-23.66410163],[8.30789406]
[178.5086849],[-24.58858175],[7.68618991]
[177.90203598],[-23.89385097],[8.64647387]
[178.55140147],[-23.02643257],[8.62417838]
[177.43130069],[-22.51930389],[8.96871499]
[177.24188212],[-20.16703256],[8.60482292]
[178.51044025],[-24.14378151],[8.57217761]
[177.40074715],[-22.32558689],[8.7328537]
[176.13518683],[-19.7309077],[8.21138081]
[178.57664219],[-21.76968452],[8.24432176]
[179.36307358],[-21.35031693],[8.4211231]
