[-177.49032455],[45.43675778],[-7.86566391]
[178.22513207],[44.33554477],[-10.78526691]
[178.34350394],[45.26806763],[-12.47318395]
[178.0820615],[42.44885172],[-12.66382558]
[177.4384778],[42.33225032],[-12.70784475]
[176.44932062],[39.15481386],[-14.74112365]
[176.26328727],[37.01851714],[-14.7217949]
[175.84103913],[38.24612427],[-15.63617757]
[175.30354962],[41.75725805],[-15.49485882]
[174.00023833],[38.36917099],[-17.67173412]
[171.88518302],[41.98832547],[-18.61465522]
[171.84423582],[45.60628408],[-20.24976085]
[166.96601474],[44.60955034],[-22.11058878]
[172.99561641],[48.72359301],[-17.29780315]
[162.584923],[45.9574513],[-27.28154593]
[160.55909801],[48.33435765],[-30.10486691]
[168.00971527],[40.49113609],[155.8206229]
[170.65778493],[52.86258749],[-21.0856279]
[172.18280441],[45.74385072],[159.28418027]
[173.38092426],[49.21887628],[-18.2174462]
[-176.23610117],[29.48804197],[172.64466625]
[167.94883174],[36.6424697],[157.39058772]
[165.87321753],[37.00977038],[152.85446349]
[170.13054557],[40.18606704],[157.3708898]
[169.86348521],[48.65563573],[-23.23451434]
[170.86632873],[52.555483],[-22.58833299]
[163.8556248],[45.33623123],[-28.78632103]
[170.02637043],[43.57610652],[-24.83592067]
[168.76561369],[50.95445059],[-23.0561016]
[175.4080875],[47.27062859],[-19.00187116]
[-176.54049244],[42.63386453],[-12.67369186]
[-169.57054949],[38.54779435],[-5.52279849]
[-168.39566067],[31.25496408],[-2.30129552]
[-167.34696505],[22.4900963],[1.04754651]
[-167.18945621],[17.22593023],[3.16935463]
[-168.13977901],[-1.00986659],[3.54766633]
[-167.51098545],[2.2153839],[4.13997428]
[-166.67475252],[-4.35059231],[3.58089804]
[-169.14852655],[-8.98726724],[3.3120631]
[-169.39584206],[-12.41462407],[2.64565166]
[-170.58777603],[-9.90255875],[2.74531692]
[-171.03740078],[-10.36781321],[3.68695978]
[-172.74811067],[-12.69851558],[3.52747406]
[-172.12490559],[-8.79949394],[3.53475313]
[-173.21755137],[-11.87941315],[3.7913723]
[-173.60284249],[-13.95654981],[3.21724289]
[-173.3353063],[-11.84969098],[2.59244943]
[-173.70881809],[-12.16405511],[2.35059061]
[-172.3344684],[25.25603603],[3.21202116]
[-174.34146416],[-11.1683602],[2.22824707]
[-170.90757053],[26.91284913],[3.54079996]
[-172.34779917],[28.54765954],[2.85424977]
[-173.03523337],[19.25990193],[3.03092794]
[-171.86041088],[25.18592058],[3.8731588]
[-174.93149056],[5.36104174],[2.92044517]
[-173.88343379],[24.22307834],[3.53050546]
[-174.57439561],[14.50719649],[3.63132938]
[179.4962811],[-6.88368002],[3.88829548]
[-175.7926043],[-11.14169878],[3.47086838]
[-172.90789248],[17.89992876],[3.41528198]
[-173.80438351],[28.89431848],[3.70902277]
[-173.26132548],[29.38238784],[4.13262138]
[-175.43984777],[18.88819217],[3.13727779]
[-173.53402272],[28.2924618],[4.14986169]
[-174.67296039],[28.11499911],[4.05550697]
[-176.04866119],[16.30005531],[3.07238058]
[-177.07718222],[-13.36786658],[3.36988715]
[-176.09479728],[3.54387216],[4.15754651]
[-177.08198981],[-11.26732651],[3.46981112]
[-177.63249296],[-15.70547025],[3.337061]
[-176.63744306],[-16.85008612],[3.77283678]
[-176.925269],[-15.68420248],[3.46069263]
[-177.50662033],[-17.07224279],[3.43532954]
[-177.35058537],[-15.25567619],[3.31155337]
[-178.06981453],[-13.60329261],[2.62069806]
[-178.50778552],[-14.1220568],[2.31280402]
[-178.68856554],[-13.18159322],[2.34326059]
[-179.66253289],[-13.55398662],[1.82883603]
[-178.7827473],[-12.67334895],[2.06255488]
[-178.81499067],[-13.73412073],[1.61297924]
[-179.40026715],[-15.30887428],[1.71933013]
[-179.40026715],[-15.30887428],[1.71933013]
[-176.53277452],[10.71634347],[1.55721384]
[-178.41934837],[-13.51008456],[2.04974303]
[-177.9697182],[-21.71795523],[1.50623397]
[-179.2281088],[-30.77885394],[1.23092517]
[-177.78943188],[-36.90319093],[0.60332005]
[-179.23190326],[-41.18911816],[0.9852223]
[179.40181736],[-41.9006884],[4.15892152]
