[176.01051136],[-26.08496436],[-3.41963109]
[175.81117214],[-27.15059105],[-4.17372976]
[176.7451708],[-26.95262069],[-4.85294654]
[176.87932784],[-25.28698718],[-3.84565456]
[176.72689221],[-24.04283189],[-4.24477376]
[175.62578353],[-23.95652227],[-3.68566543]
[175.86988337],[-24.93689543],[-3.95532613]
[174.76677607],[-24.15099181],[-3.28676724]
[175.59305572],[-26.40539819],[-3.58935624]
[175.95793901],[-26.18530792],[-3.4802231]
[176.68531391],[-25.97512975],[-3.86367691]
[177.52745344],[-25.94311053],[-3.23138168]
[177.23572027],[-25.92697303],[-3.78063572]
[176.83603104],[-27.96350689],[-3.31370186]
[175.79623008],[-25.95011846],[-3.30915219]
[175.98015047],[-25.0069259],[-3.68854301]
[176.32437221],[-26.67130407],[-3.37705454]
[177.14859182],[-27.42750946],[-3.50147025]
[176.9973818],[-26.65267492],[-3.59883662]
[176.75880143],[-27.15129894],[-3.69634115]
[175.55864572],[-25.89910315],[-3.9418276]
[176.91905963],[-26.38710388],[-4.0957956]
[176.14943933],[-26.76950377],[-3.9607272]
[175.9232766],[-26.94117723],[-3.49290551]
[174.36170685],[-26.00029027],[-3.5782287]
[174.72824653],[-25.60152739],[-3.21421453]
[174.72824653],[-25.60152739],[-3.21421453]
[174.78365768],[-24.59587497],[-3.41822027]
[175.49141243],[-25.1710553],[-4.24077928]
[174.59286586],[-24.67889184],[-3.73734084]
[175.87339372],[-24.68509519],[-4.60963349]
[175.83197645],[-23.91251671],[-4.84233774]
[175.06654519],[-22.95255527],[-4.53227034]
[176.12307182],[-22.52219195],[-3.86675523]
[174.00558616],[-22.55407917],[-4.5498993]
[172.27839042],[-20.26349736],[-4.24344277]
[173.14002587],[-21.89976581],[-3.8609056]
[172.94458234],[-23.33559606],[-2.85682802]
[173.40796317],[-21.54032264],[-3.81155262]
[173.802599],[-22.25400603],[-4.00490328]
[174.56821364],[-23.59164185],[-4.41916619]
[175.51636258],[-23.57488951],[-3.92343608]
[175.02479709],[-23.70768205],[-4.04941612]
[174.57887857],[-23.29192239],[-4.12380327]
[175.3749734],[-23.25933992],[-3.52314971]
[174.21459405],[-22.25414873],[-3.7708341]
[175.13419109],[-22.45488137],[-3.99732043]
[174.34751484],[-21.62381372],[-4.11032407]
[173.97417153],[-23.68966947],[-3.46272131]
[174.39759303],[-22.73017581],[-4.09650688]
[173.71620036],[-22.10758085],[-4.27653629]
[173.57799304],[-24.35024204],[-3.62906154]
[174.90748989],[-23.01432288],[-3.84939622]
[174.44762816],[-20.66884001],[-3.68368412]
[174.84411026],[-24.24659159],[-3.98645854]
[175.29857436],[-22.34694844],[-4.54128657]
[175.26797976],[-21.79377023],[-4.18885981]
[173.89026772],[-23.7830106],[-3.68199145]
[174.36418006],[-22.31126214],[-3.80281895]
[173.82977455],[-24.86973391],[-3.49943813]
[174.77887131],[-22.94355745],[-3.42324065]
[174.4643823],[-22.18630745],[-4.32079221]
[174.33268259],[-22.10611098],[-3.89223234]
[173.79144473],[-23.68922766],[-4.0098575]
[174.74155307],[-23.73289412],[-3.92974495]
[174.59435327],[-26.01662925],[-3.78954218]
[172.76397489],[-23.62372763],[-3.6668582]
[173.68181426],[-25.99588111],[-4.0814649]
[174.90760965],[-23.72154481],[-3.12136727]
[176.01908585],[-25.64016981],[-3.80462882]
[173.66619612],[-26.39926922],[-3.40789805]
[174.71507621],[-26.09670614],[-4.12593467]
[173.37618715],[-26.05784431],[-3.35238719]
[174.77353914],[-27.41943312],[-3.71304922]
[174.79820561],[-25.73608084],[-3.58732063]
[174.57323854],[-27.15708597],[-3.39759379]
[175.26799948],[-27.11832509],[-3.63195137]
[175.46579782],[-27.83053334],[-3.1657532]
[175.76239472],[-27.32853148],[-3.77023394]
