[-170.52693072],[-10.01925418],[-7.02888909]
[-168.79828399],[-10.06594116],[-7.10841798]
[-169.06464179],[-8.95284508],[-7.19835143]
[-169.08750645],[-9.12104234],[-7.61899141]
[-169.00019515],[-9.36421723],[-8.18645341]
[-169.87309849],[-11.31693173],[-8.78843641]
[-168.38991107],[-10.52454107],[-9.48780405]
[-168.46211025],[-10.95521253],[-9.64125984]
[-168.33187817],[-9.77697548],[-9.37108821]
[-168.34048267],[-8.81657951],[-9.52034946]
[-167.36078835],[-7.81779194],[-10.53737341]
[-168.27423991],[-9.49173757],[-10.25622263]
[-168.51698261],[-8.37247669],[-10.23649234]
[-166.67539253],[-6.35244176],[-9.79489303]
[-165.57889468],[-8.91056286],[-10.20268892]
[-160.52814902],[-35.36100587],[170.15934899]
[-159.84229404],[-35.95903065],[169.63989071]
[-159.84229404],[-35.95903065],[169.63989071]
[-160.52814902],[-35.36100587],[170.15934899]
[-160.01928071],[-34.7481599],[169.86824446]
[-159.12838751],[-34.43761633],[169.50658643]
[-159.58311586],[-33.25287908],[169.51109017]
[-167.47749924],[-8.70634861],[-8.79961171]
[-168.31252361],[-8.50057172],[-9.34461358]
[-167.60097247],[-8.99985851],[-9.69963978]
[-169.13105126],[-8.71639267],[-9.61241897]
[-169.20736377],[-11.01258636],[-9.50473332]
[-170.64319131],[-11.55054015],[-10.49740188]
[-170.7740322],[-9.29006878],[-11.06021359]
[-171.75016392],[-12.26473196],[-10.89739991]
[-173.25386099],[-11.5593419],[-12.04800182]
[-172.91230725],[-10.45927498],[-11.8445294]
[-174.06652338],[-11.79964193],[-11.72630178]
[-174.38515668],[-11.03726848],[-12.0672306]
[-175.60939022],[-10.64104435],[-11.29832]
[-176.08942903],[-11.48770128],[-11.49925991]
[-177.27705287],[-12.38849249],[-11.16203402]
[-175.57757342],[-10.11015263],[-11.09986873]
[-176.19319087],[-10.89231773],[-11.41051846]
[-175.55629849],[-12.01782596],[-11.31335124]
[-176.09167264],[-12.61315675],[-11.65500247]
[-176.40407336],[-10.96826217],[-11.5431941]
[-176.36581733],[-9.70099014],[-11.44817964]
[-176.8268565],[-11.56660254],[-11.29206419]
[-176.18406097],[-9.77744815],[-11.34539815]
[-176.47756841],[-10.33004467],[-11.56970064]
[-175.39356648],[-10.70110738],[-11.25036426]
[-175.84013662],[-11.49352995],[-11.46299577]
[-175.73330938],[-12.04704484],[-11.40980679]
