[178.52175233],[-21.45823975],[4.11135573]
[178.15547855],[-21.99785089],[3.63553047]
[178.91660153],[-20.64131112],[3.63806545]
[178.41776452],[-20.31263765],[3.08362341]
[178.7566477],[-21.7496878],[3.83225775]
[178.52175233],[-21.45823975],[4.11135573]
[178.28999364],[-19.72675944],[3.44368831]
[179.14658306],[-20.95310792],[3.3620294]
[177.43849377],[-21.69996672],[4.1679728]
[176.59181039],[-20.12698334],[4.3087303]
[179.20735782],[-20.6637561],[4.00575083]
[179.14658306],[-20.95310792],[3.3620294]
[177.06774409],[-19.98344903],[3.72848419]
[177.53912126],[-19.88342028],[3.69994314]
[177.6526523],[-20.60786106],[3.34802013]
[178.05353153],[-18.96639254],[3.78984262]
[177.43849377],[-21.69996672],[4.1679728]
[177.54871944],[-22.24274005],[3.81325563]
[177.14807423],[-20.91415605],[3.15963818]
[177.55262987],[-21.08176427],[3.94631819]
[178.10049171],[-18.48570433],[3.557868]
[176.86557993],[-20.08131585],[4.28076014]
[178.41425238],[-21.08140415],[3.8607483]
[178.65700775],[-21.96675263],[3.83319038]
[178.14533901],[-20.84511881],[3.64225946]
[177.2894272],[-20.22336823],[3.45852438]
[177.89002825],[-19.90712207],[3.66038053]
[178.14533901],[-20.84511881],[3.64225946]
[178.14533901],[-20.84511881],[3.64225946]
[178.28999364],[-19.72675944],[3.44368831]
[177.9207224],[-20.57749392],[3.91394595]
[178.50785974],[-20.01238228],[3.17572342]
[177.2894272],[-20.22336823],[3.45852438]
[177.68865713],[-20.03180695],[3.23862677]
[177.9207224],[-20.57749392],[3.91394595]
[177.41628406],[-19.08929843],[3.25096599]
[176.74507143],[-19.6116914],[3.55985603]
[177.9586072],[-20.88655062],[3.46868058]
[175.75588795],[-20.00586068],[3.77516256]
[179.90006356],[-23.70079879],[3.14477085]
[178.91660153],[-20.64131112],[3.63806545]
[178.55110217],[-22.28061815],[3.751266]
[177.5802471],[-21.02930979],[3.84244035]
[177.1774262],[-19.20658832],[3.82074764]
[177.9207224],[-20.57749392],[3.91394595]
[175.92090889],[-19.82406466],[4.00759935]
[176.50819594],[-19.44995131],[4.2071129]
[175.97704663],[-19.50108359],[4.100242]
[176.86557993],[-20.08131585],[4.28076014]
[177.0288399],[-20.65361971],[3.91989865]
[177.0288399],[-20.65361971],[3.91989865]
[176.79713591],[-20.40162903],[4.1916698]
[177.73133731],[-18.67385065],[3.77448663]
[177.0761638],[-18.30087105],[3.3097808]
[177.67507233],[-19.64581388],[3.9284752]
[177.31549454],[-20.88665515],[3.71921887]
[177.91568915],[-21.72750861],[3.91555676]
[178.15996111],[-18.93669415],[3.59736635]
[175.90754011],[-19.75725462],[3.83962096]
[177.71881344],[-19.86991153],[4.25584414]
[178.31264951],[-20.90285057],[3.43246314]
[178.21537969],[-21.22668736],[3.34496828]
[178.5252832],[-17.83283584],[3.55726944]
[177.9207224],[-20.57749392],[3.91394595]
[176.83459376],[-21.57387018],[4.19318649]
[178.21537969],[-21.22668736],[3.34496828]
[177.91568915],[-21.72750861],[3.91555676]
[178.9522991],[-20.54312501],[4.67176689]
[178.05353153],[-18.96639254],[3.78984262]
[178.91660153],[-20.64131112],[3.63806545]
[178.66106126],[-19.65803426],[3.66193369]
[178.14533901],[-20.84511881],[3.64225946]
[178.63047281],[-23.5673993],[3.5187718]
[177.09699551],[-21.6472896],[3.73604831]
[177.44359245],[-22.8674914],[4.17111303]
[177.54871944],[-22.24274005],[3.81325563]
[178.63047281],[-23.5673993],[3.5187718]
[176.69086001],[-22.35307966],[4.74387688]
[175.56449462],[-18.0896614],[3.45509879]
[177.4564811],[-19.28928946],[3.57391306]
[177.54871944],[-22.24274005],[3.81325563]
[177.38858827],[-20.45637604],[3.75720456]
[177.38858827],[-20.45637604],[3.75720456]
[177.46679208],[-20.13964387],[3.84836289]
[177.98560163],[-20.15397229],[3.96385787]
[177.98560163],[-20.15397229],[3.96385787]
[176.93404562],[-21.59916175],[4.00246436]
[176.42627692],[-21.53243799],[4.26051949]
[177.81721594],[-22.27500798],[4.18059606]
[177.98560163],[-20.15397229],[3.96385787]
[179.19198723],[-20.95827792],[3.34178198]
[178.20119253],[-22.00352382],[3.61440008]
[178.20119253],[-22.00352382],[3.61440008]
[177.88906309],[-20.43385307],[3.72656083]
[176.5640795],[-21.65561473],[3.79069249]
[178.9225304],[-19.78197114],[2.99501827]
[177.35927791],[-18.36272213],[4.50617666]
[177.38858827],[-20.45637604],[3.75720456]
[176.61581597],[-19.58642395],[4.36023303]
[177.51443409],[-20.48618024],[3.50700964]
[178.46464946],[-22.07078971],[3.83618846]
[177.38858827],[-20.45637604],[3.75720456]
[177.38858827],[-20.45637604],[3.75720456]
[177.38858827],[-20.45637604],[3.75720456]
[178.53699139],[-20.62825769],[3.47127066]
[177.38858827],[-20.45637604],[3.75720456]
[177.98560163],[-20.15397229],[3.96385787]
[179.19198723],[-20.95827792],[3.34178198]
[177.15204282],[-20.31069845],[4.40994132]
[178.77094597],[-20.40255137],[3.46244004]
[177.98560163],[-20.15397229],[3.96385787]
[177.38858827],[-20.45637604],[3.75720456]
[177.70031262],[-19.9233326],[3.83759327]
[177.70031262],[-19.9233326],[3.83759327]
[176.93404562],[-21.59916175],[4.00246436]
[176.87372044],[-20.3855998],[4.00919513]
[178.25093672],[-21.12462011],[3.94031372]
[177.98560163],[-20.15397229],[3.96385787]
[177.88906309],[-20.43385307],[3.72656083]
[177.06629999],[-18.43673158],[4.11128453]
[178.38893801],[-20.51223831],[3.47766137]
[177.38858827],[-20.45637604],[3.75720456]
[177.75394742],[-23.14459695],[3.85409136]
[177.38858827],[-20.45637604],[3.75720456]
[177.38858827],[-20.45637604],[3.75720456]
[177.98560163],[-20.15397229],[3.96385787]
[179.19198723],[-20.95827792],[3.34178198]
[179.43523313],[-21.9102248],[3.31329136]
[177.28524759],[-20.72312278],[3.51155654]
[177.18893848],[-19.47391673],[3.53173457]
[178.11359036],[-21.15284782],[3.37629031]
[178.25093672],[-21.12462011],[3.94031372]
[177.38858827],[-20.45637604],[3.75720456]
[178.59204521],[-21.19720583],[3.13557249]
[179.19198723],[-20.95827792],[3.34178198]
[177.38858827],[-20.45637604],[3.75720456]
[177.40956535],[-18.97364621],[3.85994295]
[178.55298123],[-20.01776098],[3.156351]
[178.59204521],[-21.19720583],[3.13557249]
[177.38858827],[-20.45637604],[3.75720456]
[176.99528657],[-22.95777399],[3.30874774]
[175.95479546],[-18.69538192],[4.13321245]
[177.55289434],[-21.433302],[3.15147786]
[176.43100067],[-21.23551118],[3.43531782]
[177.13960018],[-18.70350849],[3.05331145]
[176.93702986],[-20.57335796],[2.94589081]
[176.70499091],[-21.92708879],[3.08750026]
[177.35593308],[-22.7998509],[3.26386886]
[176.63927564],[-22.22079878],[2.80958432]
[174.58399159],[-23.65098766],[3.1796004]
[175.93623429],[-21.34297738],[2.63547769]
[176.12219687],[-21.31884125],[3.21168776]
[176.45348604],[-21.40210917],[2.4058311]
[176.85558358],[-22.85675988],[2.48694904]
[177.35017739],[-22.01269495],[2.58258648]
[177.56892263],[-21.54969514],[2.11699716]
[177.87330296],[-17.82038928],[2.33862876]
[177.13960018],[-18.70350849],[3.05331145]
[177.87330296],[-17.82038928],[2.33862876]
[177.13960018],[-18.70350849],[3.05331145]
[175.13539621],[-19.80560813],[3.16531134]
[175.65439819],[-18.10282452],[3.41988591]
[176.53535713],[-20.8995609],[3.93367383]
[177.2511137],[-21.99560671],[2.64560813]
[176.77075419],[-19.30835696],[2.57748419]
[176.0161122],[-18.73661656],[2.9166804]
[175.46099524],[-17.98941265],[2.88367898]
[175.46099524],[-17.98941265],[2.88367898]
[175.59601179],[-18.76380524],[3.14000622]
[176.32364091],[-18.8783087],[2.98475034]
[177.59831924],[-20.07173249],[2.23713022]
[176.03781444],[-19.5753377],[3.41177692]
[176.36744021],[-18.55799691],[3.0855614]
[175.80775912],[-18.96809361],[2.87925254]
[176.16354996],[-18.33339942],[3.34355072]
[177.22694693],[-18.07084471],[2.75766866]
[176.30964004],[-21.39075491],[2.7767447]
[177.38384223],[-19.59250103],[2.88143271]
[179.50423996],[-21.42103041],[2.4158436]
[176.84579301],[-19.71374667],[2.90680774]
[177.55716948],[-21.41599677],[2.74172909]
[178.34660012],[-21.61961951],[2.63801331]
[177.09220987],[-19.01816715],[2.5010645]
[177.49670693],[-20.93957796],[2.52511612]
[178.06687205],[-19.89217148],[2.1540765]
[178.42959303],[-19.80583224],[2.3525255]
[177.8626411],[-20.95606406],[2.78970722]
[177.8626411],[-20.95606406],[2.78970722]
[177.8626411],[-20.95606406],[2.78970722]
