,1_1,2_1,3_1,4_1,1_2,2_2,3_2,4_2,1_3,2_3,3_3,4_3,1_4,2_4,3_4,4_4,1_5,2_5,3_5,4_5,1_6,2_6,3_6,4_6,1_7,2_7,3_7,4_7
1_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.184295577,0.118495086,0.268869776,0.438083992,0.014745453,0.001419244,-0.117387863,-0.002289054,0.093096997,-0.061861107,0.159360605,0.266430258,0.259345473,0.159927457,0.159484901,0.234418174,-0.070491311,0.048257875,0.321354016,-0.129090835,0.241625945,-0.016761993,-0.036901909,0.2353476,0.122209315,-0.012011205,0.322076395,0.078130502
6,0.178160437,0.026252532,0.039363142,0.313011768,-0.005817947,0.161021859,-0.271546264,-0.151416256,-0.009498393,-0.119402616,0.027394618,0.143125796,0.287885615,0.104491307,0.115581352,0.105033298,-0.121869086,0.230296125,0.286909665,0.157828205,0.138647835,-0.035757021,0.022595444,0.137972481,0.240305513,0.043423096,0.195087213,0.101490585
7,0.364303732,-0.170663078,0.117826713,0.063377312,0.01662117,0.189587538,-0.089363849,-0.032975526,0.101255498,-0.094561817,0.093764303,0.069204049,0.242920124,-0.236897086,0.271871797,0.131795203,-0.061851884,0.089303699,-0.032503126,0.026282512,0.191079118,0.101524189,0.094680208,0.210924397,0.377670275,0.066818438,0.244712628,0.165449748
8,0.203948173,-0.012805839,0.065963376,0.13890782,-0.011519815,0.187607839,-0.030658506,0.029340656,0.144223238,0.088068476,0.247379291,0.52477531,0.119016031,-0.217355565,0.096740483,0.183333676,-0.065203814,0.220859089,0.222614879,0.162045489,0.383546424,0.413165419,0.429582825,0.632806438,0.256418895,0.298940332,0.308622105,0.419348354
