0,4.3681
6.784,8.1281
10.128,10.432
13.728,14.112
15.984,16.688
18.16,18.32
19.456,21.008
26.368,39.376
44.048,44.144
45.952,46.448
50.384,54.192
55.36,57.376
60.384,60.64
61.728,62.064
63.344,68.64
70.912,72.352
74.896,75.088
82.608,82.88
84.384,86.624
88.416,90.64
92.816,93.504
98.416,98.64
100.32,105.55
107.66,108.99
110.86,110.96
113.17,113.84
116.8,117.52
120.64,123.97
125.46,126.4
127.52,129.33
132.22,140.19
141.49,142.85
145.46,145.97
147.5,151.01
152.99,155.15
156.24,157.15
160.48,165.79
169.62,169.65
171.06,171.44
172.58,179.33
180.46,183.71
